HRP age min,HRP age max,ln(income) min,ln(income) max,probability
15,25,3.75,4,0.004084196
15,24,4,4.25,0.0284380253
15,24,4.25,4.5,0
15,24,4.5,4.75,0.0676664302
15,24,4.75,5,0.0567060074
15,24,5,5.25,0.0824545389
15,24,5.25,5.5,0.0709821832
15,24,5.5,5.75,0.0944539739
15,24,5.75,6,0.1395590205
15,24,6,6.25,0.1163681671
15,24,6.25,6.5,0.1386618991
15,24,6.5,6.75,0.1088109437
15,24,6.75,7,0.071190512
15,24,7,7.25,0.0206241027
15,24,7.25,7.5,0
15,24,7.5,7.75,0
25,34,3.75,4,0
25,34,4,4.25,0.0083307809
25,34,4.25,4.5,0.0203968542
25,34,4.5,4.75,0.0087417755
25,34,4.75,5,0.0141049345
25,34,5,5.25,0.0281925068
25,34,5.25,5.5,0.0339395458
25,34,5.5,5.75,0.0504746708
25,34,5.75,6,0.0796645317
25,34,6,6.25,0.1170115854
25,34,6.25,6.5,0.1429558209
25,34,6.5,6.75,0.1653760456
25,34,6.75,7,0.1431394456
25,34,7,7.25,0.0905881778
25,34,7.25,7.5,0.0559203451
25,34,7.5,7.75,0.0411629794
35,44,3.75,4,0
35,44,4,4.25,0.0092826104
35,44,4.25,4.5,0.0081542999
35,44,4.5,4.75,0.0086761594
35,44,4.75,5,0.0139147563
35,44,5,5.25,0.020638039
35,44,5.25,5.5,0.0304526243
35,44,5.5,5.75,0.0536154206
35,44,5.75,6,0.0816650592
35,44,6,6.25,0.1127644581
35,44,6.25,6.5,0.1319917882
35,44,6.5,6.75,0.1376260203
35,44,6.75,7,0.1513484775
35,44,7,7.25,0.1120105229
35,44,7.25,7.5,0.0669798576
35,44,7.5,7.75,0.0608799064
45,54,3.75,4,0.0013674458
45,54,4,4.25,0.0087407772
45,54,4.25,4.5,0.0183054408
45,54,4.5,4.75,0.0177147952
45,54,4.75,5,0.018028825
45,54,5,5.25,0.0376623825
45,54,5.25,5.5,0.0264233874
45,54,5.5,5.75,0.0506918609
45,54,5.75,6,0.0522041671
45,54,6,6.25,0.083857556
45,54,6.25,6.5,0.1070733132
45,54,6.5,6.75,0.1372267042
45,54,6.75,7,0.1470025877
45,54,7,7.25,0.1051721321
45,54,7.25,7.5,0.085020473
45,54,7.5,7.75,0.103508152
55,64,3.75,4,0.0024396516
55,64,4,4.25,0.004461858
55,64,4.25,4.5,0.0144219878
55,64,4.5,4.75,0.0141980714
55,64,4.75,5,0.0477283163
55,64,5,5.25,0.043665514
55,64,5.25,5.5,0.0574548915
55,64,5.5,5.75,0.0603133421
55,64,5.75,6,0.0888564609
55,64,6,6.25,0.1117520302
55,64,6.25,6.5,0.1212587156
55,64,6.5,6.75,0.140152244
55,64,6.75,7,0.0994452048
55,64,7,7.25,0.0900646876
55,64,7.25,7.5,0.0443845209
55,64,7.5,7.75,0.0594025035
65,74,3.75,4,0
65,74,4,4.25,0.0011670342
65,74,4.25,4.5,0.0012639521
65,74,4.5,4.75,0.0071317499
65,74,4.75,5,0.0461660622
65,74,5,5.25,0.0830179632
65,74,5.25,5.5,0.0957014698
65,74,5.5,5.75,0.1228734418
65,74,5.75,6,0.1286331161
65,74,6,6.25,0.1439897362
65,74,6.25,6.5,0.1216759382
65,74,6.5,6.75,0.1134163788
65,74,6.75,7,0.063504079
65,74,7,7.25,0.0279290473
65,74,7.25,7.5,0.0209323253
65,74,7.5,7.75,0.022597706
75,80,3.75,4,0
75,80,4,4.25,0.001354997
75,80,4.25,4.5,0.0011889642
75,80,4.5,4.75,0.0013374688
75,80,4.75,5,0.0690335594
75,80,5,5.25,0.1419080444
75,80,5.25,5.5,0.1473310147
75,80,5.5,5.75,0.1757904649
75,80,5.75,6,0.1464668029
75,80,6,6.25,0.1466034042
75,80,6.25,6.5,0.0746724489
75,80,6.5,6.75,0.0583794467
75,80,6.75,7,0.0175400272
75,80,7,7.25,0.0119906359
75,80,7.25,7.5,0.0049434823
75,80,7.5,7.75,0.0014592386
